,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,TARGET_x,TARGET_y,TARGET_z
282,0.99698865,0.4791882,0.9831808,0.5132075,-0.93269444,-0.5790424,-0.6167866,0.9895139,-0.29719576,-0.9991737,-62.979916,2.3315597,11.229145
978,0.1033773,0.9891302,-0.97884893,0.9999189,0.96904945,0.3098591,0.55891573,0.9983864,-0.57643986,-0.9760518,-28.555168,4.5329685,18.28293
304,-0.9882261,0.9797467,-0.99880683,0.99666137,0.973449,-0.16492155,-0.53232825,0.59676564,-0.48050824,0.9342451,14.712988,8.90247,19.79344
192,-0.98047876,0.9638579,-0.9983005,0.99970675,0.991261,0.55383337,0.42697424,0.9256411,-0.6400254,0.16210811,5.0061026,1.7316955,20.014893
112,-0.87669915,0.9944078,-0.996847,0.9998975,0.96869284,-0.30503502,0.023389244,0.99032885,-0.471645,-0.7623728,-7.679491,11.271192,18.680075
360,-0.38923487,-0.9960677,0.9943509,-0.9811556,0.9445166,0.9962563,0.8903113,-0.9786391,-0.13304774,0.24392186,-1.8111998,-73.56865,3.176866
376,0.6591068,-0.9096088,0.8849062,-0.9778523,-0.4741031,0.86950314,-0.23246391,-0.3418988,0.98702794,-0.9874238,-27.471622,-33.270832,10.162083
708,-0.97000533,0.9954011,-0.99809253,0.99921864,0.835886,-0.76436865,-0.5748347,0.9261572,-0.17719847,0.53475296,7.904775,15.479238,19.476492
913,-0.981581,0.990328,-0.99879736,0.9998733,0.97342145,-0.039410703,0.6802819,0.9445708,-0.06418845,-0.40582103,-1.372072,3.4488442,12.425252
243,0.15584262,-0.99316585,0.08326144,0.45428994,0.9909813,0.9994503,-0.33274305,-0.9002236,-0.9734009,0.97199994,10.977781,-70.42327,28.08684
880,-0.9949338,0.9111132,-0.99912,0.99819267,0.98666245,0.70520943,0.45564133,0.61442643,-0.40862986,0.81601524,10.84111,-4.8848386,14.060348
212,0.9910632,-0.69856465,0.9947145,-0.7388234,-0.96882725,-0.2946597,0.17623587,0.9493087,0.23732778,-0.99892527,-60.749084,-12.40549,4.3544683
325,-0.9939804,0.9412381,-0.999086,0.9993356,0.9848308,0.57770413,0.6198588,0.77268004,-0.40634295,0.6258401,8.016743,-2.8819952,13.974132
536,0.21898408,-0.9906524,-0.25527933,0.7972404,0.9923705,0.9994947,-0.13867858,-0.7705862,-0.96461207,0.93954796,7.1530185,-65.26984,27.915611
873,-0.98886794,0.9957617,-0.999453,0.9992186,0.39194778,-0.932073,-0.13543649,0.5722486,0.7380926,0.6378527,9.41733,14.546575,7.017673
480,-0.9964791,0.95522106,-0.9993072,0.9983529,0.97723126,0.35206774,0.6015759,0.4277066,0.14112215,0.83156264,9.533221,-2.9653428,7.9320374
761,0.98569024,-0.60258657,0.9832542,-0.92438716,-0.8064982,0.6713812,-0.7879805,0.9713566,0.6397578,-0.9988424,-53.788757,-14.7509985,16.784218
774,-0.98522705,0.9877117,-0.99873984,0.9964152,0.9252493,-0.5747593,-0.7006891,0.5916057,-0.19224031,0.93313783,15.699728,12.650499,19.445862
479,-0.9965654,0.9788137,-0.9995469,0.9981367,0.8797492,-0.6756027,0.4855888,-0.14374709,0.65469426,0.9207257,11.413405,3.5335805,1.4490651
436,-0.8744268,0.97414446,-0.9927415,0.9990486,0.986792,0.45997474,-0.6813484,0.975299,-0.8962631,0.11401982,4.8847914,10.202824,31.724012
661,0.9954401,0.7336203,0.9661179,0.7262125,-0.9342078,-0.7069533,-0.67220265,0.9950529,-0.096738204,-0.9994804,-56.827877,3.5607023,11.405879
945,0.99313504,0.92700523,0.7230611,0.99829686,0.016459104,0.3606415,0.4512433,0.9991004,-0.92086744,-0.99363995,-61.980015,4.469417,17.694902
194,-0.9927211,-0.081660986,-0.99226713,0.98780626,0.9486529,0.97255445,0.81142366,-0.17473163,0.34937525,0.6102857,9.39827,-29.915325,8.480005
502,-0.99614716,0.9540439,-0.99929106,0.9971013,0.97396874,0.16177425,0.38160095,0.17887951,0.10614212,0.922069,11.475639,-1.131163,7.219054
935,-0.75588644,-0.47308406,-0.9931762,0.9983159,0.99780345,0.9943854,0.59282875,0.91308045,-0.83382887,-0.07641294,2.4111567,-28.182983,27.376968
752,-0.9878949,-0.8461707,-0.94258904,0.44557464,0.93075514,0.99427617,0.38878822,-0.92663693,0.24014404,0.9293433,17.984705,-46.683865,8.850082
69,-0.99514663,0.9718,-0.9992625,0.9996144,0.9686529,0.26469374,0.8414394,0.75406516,0.2058417,0.41030332,4.5707436,-2.2556393,7.8651266
170,0.9483867,-0.9822568,0.95169574,-0.96483725,0.9222814,0.9924564,-0.5541138,0.24023385,0.2601842,-0.8120898,-24.244184,-50.215458,22.456738
928,-0.99164206,0.9793924,-0.9990792,0.99566275,0.9513584,-0.3880221,-0.46297276,0.27758095,-0.10669073,0.95729715,15.795874,8.728454,14.175143
297,0.79786515,-0.9974316,0.9970543,-0.9959515,0.84966457,0.9853027,0.91909945,-0.7917276,-0.47522664,-0.47113898,-21.41807,-67.59056,3.5477753
859,0.94204867,-0.9550606,0.9923048,-0.9880077,-0.82867396,0.75895834,0.61191314,0.7923919,0.7348045,-0.99516165,-47.43341,-27.658312,4.086577
712,-0.06519622,0.9948313,-0.9839185,0.99992794,0.95178527,0.027946671,0.7200171,0.997812,-0.26730603,-0.975428,-26.039509,4.4482503,12.164952
280,-0.99670464,0.9785659,-0.9995656,0.9982258,0.8712361,-0.690793,0.5256041,-0.16716234,0.6880035,0.9159744,11.317599,3.3571777,0.95546794
977,-0.99397314,0.98886645,-0.99942,0.9998254,0.9580269,-0.17148037,0.8046557,0.8336498,0.23475823,0.22498254,2.4679108,1.2487074,6.7489314
654,-0.9888403,0.992104,-0.998974,0.99968994,0.95351857,-0.4480305,0.28008872,0.8795719,-0.31426588,0.5602568,6.9220476,7.4341164,13.717962
915,0.96756244,-0.9812486,0.96126485,-0.9753597,0.9110696,0.99024564,-0.4659623,0.46113312,0.12012153,-0.8579779,-27.920406,-49.367516,22.568153
475,-0.9874929,0.98123777,-0.998816,0.9947953,0.95790666,-0.3325078,-0.6870909,0.46183082,-0.3140199,0.954308,17.29215,10.825618,19.75013
70,-0.98981553,0.8298369,-0.9986284,0.99770796,0.9911005,0.83294374,0.1654871,0.7188689,-0.7349742,0.82387936,11.785089,-5.1839175,19.971882
600,0.4802787,0.9560501,-0.9338226,0.9997229,0.9744438,0.59045,-0.537695,0.99790573,-0.9469457,-0.8948905,-31.006046,8.031687,30.832165
438,-0.12609647,-0.9816433,0.2841217,0.88280594,0.9896774,0.99963015,0.8825694,-0.785794,-0.8448032,0.5361944,-0.07424373,-63.437122,15.759175
948,-0.9546354,-0.64958084,-0.99222904,0.9755037,0.99346787,0.99243176,0.25536978,0.058971863,-0.7492685,0.9099184,13.7812195,-35.7866,21.322454
695,-0.99693286,0.9871457,-0.99967086,0.99767685,0.5345329,-0.9056782,0.2035433,-0.5232888,0.83130044,0.8860085,16.312563,8.963915,0.8007277
423,-0.9949101,0.8238802,-0.9991243,0.98987794,0.9889347,0.79832596,0.04384788,0.08051544,-0.31008023,0.9497821,15.132887,-6.588049,13.705746
99,0.46082997,0.9975529,-0.96351117,0.9999185,0.5712427,-0.9126011,0.59157443,0.99871004,-0.4131207,-0.9818617,-32.54989,11.614191,5.723297
36,-0.9640983,0.98307735,-0.99710935,0.99927,0.98438215,0.20278344,-0.40835074,0.9431164,-0.80627495,0.4953873,8.910557,8.942693,26.421188
572,-0.95959574,0.99800307,-0.9989516,0.9998724,0.7758078,-0.8500718,0.32062742,0.95047766,0.5660652,-0.40295714,-2.0344832,12.207924,6.746972
547,0.84842944,-0.9783767,-0.06087361,0.9288745,0.996723,0.99953413,0.51618195,0.2055969,-0.8709676,0.06182751,-11.897106,-58.369343,28.510319
833,0.45135802,-0.99494904,0.9881855,-0.99442196,0.5467203,0.96579134,0.9033773,-0.8911597,0.7185843,-0.72937775,-17.830269,-54.958622,3.7122917
637,0.91902024,0.9878468,-0.65920347,0.9998572,0.75728583,-0.23431373,0.75222117,0.99949515,-0.69804996,-0.99459666,-44.873016,6.947581,11.633672
762,-0.79426426,0.9619226,-0.9913248,0.9993634,0.9910543,0.6449043,-0.54935867,0.9860651,-0.9104378,-0.26984987,0.31946853,8.570046,32.322517
696,-0.5218671,-0.9691465,-0.4238631,0.93389004,0.9870063,0.9994698,0.902434,-0.70915204,-0.6999531,0.3973869,1.9139901,-56.535732,15.296669
702,0.2612673,0.96923804,-0.96618384,0.9998536,0.9777902,0.60521173,0.23172267,0.9984656,-0.8143277,-0.96108294,-30.322199,3.7845728,24.373423
20,0.42001423,-0.9904015,0.9177506,0.23517592,0.9873552,0.999656,0.6791664,-0.915095,-0.91883934,0.70935625,-0.7031842,-74.931755,15.541364
638,-0.98457074,0.9943974,-0.99881655,0.9997164,0.9277613,-0.610892,0.19996822,0.9176725,-0.16407754,0.37260315,5.268777,9.318603,13.54164
818,-0.9890525,-0.9200041,0.88457346,-0.9486072,-0.44354135,0.9687006,0.42767975,-0.98164535,0.98233795,-0.27115765,5.3545756,-43.60355,2.453709
21,0.9951222,-0.2154632,0.99280083,-0.0024526517,-0.9701035,-0.68467623,-0.17443453,0.96974194,-0.11036778,-0.9991679,-66.0467,-3.2229645,4.6169047
584,0.8520698,-0.98451805,0.2457457,0.9211592,0.99645597,0.9995767,0.5510245,-0.03789704,-0.925045,0.32765704,-9.304893,-62.943565,28.447958
225,0.97051495,-0.9625066,0.32591102,0.66633165,0.9897475,0.9990406,-0.05333177,0.8328794,-0.7783577,-0.766347,-34.10597,-44.57542,29.010536
586,-0.98736936,0.9695947,-0.9985351,0.9993053,0.9879386,0.34297174,0.054406233,0.8566406,-0.71958464,0.7024874,10.08704,3.6922197,20.394526
101,-0.007175129,-0.98828477,0.7794682,0.53994876,0.98751944,0.99967766,0.7024751,-0.92487735,-0.9258402,0.8418757,3.3014743,-70.90951,15.692393
969,-0.9952058,0.96722364,-0.9992039,0.9966474,0.9599457,-0.19529277,0.12848595,0.057471756,0.053963296,0.9556676,12.972487,2.6804469,7.559412
783,-0.9442235,0.99230164,-0.99668694,0.99956155,0.9627394,-0.21983045,-0.49534148,0.9723998,-0.7052965,0.10992921,4.9736466,13.3072195,25.594486
137,-0.99666715,0.9859652,-0.99962527,0.99786067,0.69547546,-0.854412,0.27013955,-0.3719382,0.75746375,0.90598565,14.202121,7.2996645,1.3763639
559,-0.040813785,0.98842496,-0.9699661,0.99975955,0.9305158,-0.2774903,-0.89959246,0.995785,-0.9358007,-0.73036766,-18.435583,18.703588,30.982151
445,0.98598623,0.9517045,0.43601593,0.99872047,0.3810094,-0.28164202,-0.6411137,0.9989786,-0.9770455,-0.9657705,-57.411427,13.913188,24.170555
14,0.12939906,-0.99159783,0.9781121,-0.9925454,0.259467,0.9489176,0.86351764,-0.9245098,0.9352836,-0.79464704,-15.783552,-49.781807,3.753522
601,-0.6855819,0.9858338,-0.99342716,0.9998668,0.9842171,0.23839307,-0.14259154,0.99453866,-0.7824813,-0.8395896,-11.921717,9.314261,25.111464
328,-0.59084296,0.9729625,-0.99252814,0.99984235,0.98946303,0.5976013,0.20843774,0.99490005,-0.7922956,-0.89032954,-15.689543,5.072209,24.796995
356,-0.08014693,0.99607354,-0.88523567,0.9992788,0.715602,-0.32893422,0.92566866,0.99483186,0.6354896,-0.9944459,-26.039675,2.6918738,5.7121997
844,0.24900626,-0.9117465,-0.9394346,0.98482186,0.99806756,0.99904335,-0.07378137,0.78030187,-0.9429418,0.3209028,0.2998311,-45.080944,33.87747
610,0.9673231,-0.96163464,0.27861598,0.69660807,0.99039036,0.9990531,-0.047548965,0.8260918,-0.77038145,-0.7606177,-33.35358,-44.59916,29.001617
697,0.9941752,-0.24481036,0.91683555,0.7625688,0.45349342,0.9869857,-0.5407623,0.99225855,-0.9493281,-0.9740996,-69.60074,-14.381605,29.547537
48,-0.9720612,0.928546,-0.99795,0.9996922,0.99336547,0.76777464,0.5662266,0.932967,-0.635135,-0.01081398,3.1913733,-1.111838,20.197401
959,0.9985273,-0.36975953,0.97752476,0.4741367,-0.3814138,0.9764832,-0.5594176,0.98910975,-0.9718568,-0.97848946,-81.418755,-11.51503,29.70857
676,-0.997014,0.9818856,-0.999643,0.99699414,0.7136591,-0.8411446,0.22471394,-0.5178394,0.78776544,0.9200049,15.657874,6.946801,1.3161955
403,-0.28933635,-0.85983086,-0.96365553,0.98293144,0.99861676,0.9979686,-0.3759562,0.7708101,-0.9691967,0.7514918,10.090235,-37.639072,33.810837
246,-0.9856164,0.9935798,-0.9989707,0.99982125,0.95901626,-0.41198385,0.4719114,0.92956954,-0.18023092,0.11930739,3.1062644,6.7946067,12.757875
888,0.92521,-0.97121954,0.016550215,0.877405,0.9966661,0.9994903,-0.26888305,0.5796525,-0.92511046,0.10904193,-16.430376,-57.98563,34.992752
467,-0.81459206,0.41640472,-0.99321187,0.99251634,0.99760175,0.9661698,-0.6025284,0.8985664,-0.9513951,0.7724475,13.299667,-6.4387507,33.147747
97,-0.9966496,0.98563397,-0.99961466,0.99811095,0.73950183,-0.8347844,0.35535094,-0.30532548,0.736257,0.9068228,13.135602,6.368785,1.1321186
180,0.99074256,0.8574897,0.75892985,0.993957,0.40457374,0.66169465,-0.5986104,0.9984647,-0.97318274,-0.9658834,-63.39346,3.0165803,30.340767
382,-0.90209955,-0.33188188,-0.9947445,0.99438155,0.997836,0.98980063,0.08153385,0.7751571,-0.90986913,0.77462286,11.305697,-24.343424,27.30865
877,0.97202516,0.41057977,0.37533477,0.9816774,0.8218494,0.9764452,0.37017217,0.997125,-0.8018265,-0.99036396,-55.809105,-10.995221,23.190393
553,0.37308475,-0.99195963,0.93680644,-0.020187972,0.98612404,0.9996483,0.5952074,-0.9445037,-0.93464345,0.8170323,1.491359,-77.615326,15.772331
803,0.6440773,-0.96819997,-0.7731626,0.955951,0.9973155,0.9994367,-0.23069902,0.39092758,-0.9465721,0.6020248,-0.7965199,-55.217205,34.090096
579,-0.98492754,0.9836644,-0.9985696,0.99965936,0.9849296,0.13253817,0.19573401,0.91453874,-0.6450412,0.445519,7.3828263,5.4538636,19.619467
394,-0.98508364,0.9946211,-0.998859,0.99955934,0.87609595,-0.74265194,0.006407881,0.8803684,0.02826544,0.5642523,6.9483714,10.75932,12.924012
890,-0.98436,0.9859571,-0.99889845,0.9998715,0.978221,0.15774502,0.7426926,0.9283597,-0.08083326,-0.342755,-0.60105693,1.7141426,12.352424
408,-0.980651,0.97952837,-0.9983756,0.9997507,0.9886339,0.33717012,0.35293615,0.93618715,-0.61249125,0.11900273,4.8138695,4.116764,20.149628
583,-0.92824894,0.95128214,-0.9949607,0.9957999,0.98800755,0.5570327,-0.83534604,0.88985413,-0.90500456,0.8145575,13.961784,8.228383,32.33714
177,-0.99346113,0.94206464,-0.99904853,0.99941033,0.98533344,0.5778715,0.6209806,0.7926774,-0.43303356,0.58977157,7.7192383,-2.5861795,14.337263
378,-0.9884417,0.9966924,-0.99935323,0.99984175,0.61084336,-0.87072355,0.6889299,0.7747036,0.70415515,0.2917185,2.2860506,7.919299,1.1881313
171,-0.18402374,-0.99022883,0.9104996,-0.05190078,0.9868034,0.9995983,0.8427106,-0.9420329,-0.80923253,0.70351136,2.158992,-73.35633,9.600266
582,-0.99446994,0.98680913,-0.9993149,0.99896795,0.9175344,-0.596836,0.25217062,0.38306403,0.23882185,0.8966694,10.020672,6.0983047,6.9475355
286,-0.99733853,0.44058597,-0.9989392,0.9631174,0.9773269,0.8438829,0.1051698,-0.56337845,0.5350585,0.9379907,20.276125,-17.805468,8.325178
117,-0.7587702,0.9002499,-0.9922129,0.9993624,0.9953604,0.8840859,-0.13157994,0.9866236,-0.907546,-0.47852603,-2.588147,2.8238292,31.272171
524,-0.9879622,0.9906688,-0.99907136,0.99985135,0.97336644,-0.13542242,0.62343496,0.9190915,-0.19522756,0.02277895,2.460534,4.230272,12.6125555
730,-0.99693286,0.98818755,-0.999686,0.99735874,0.3663101,-0.9326675,0.053933024,-0.6030196,0.8715501,0.8689907,19.306486,11.622947,0.7847725
9,-0.96813554,0.85002303,-0.99782526,0.99954426,0.99403507,0.875412,0.60119843,0.9236852,-0.67161083,0.09033291,4.271247,-4.438264,20.476498
24,-0.7235204,0.9967639,-0.99701804,0.99992526,0.9469659,-0.57560277,0.32662565,0.99323267,-0.24631543,-0.8733967,-14.09955,9.881222,12.267232
